address,zipcode,county,price,housing_type,beds,baths,sqfts,lotsize,garage,yearbuilt
"388 Townsend St 5, San Francisco, CA 94107",94107,San Francisco County,"$1,049,000",Condominium,1,2,"1,055","10,856",1,1999
"2225 23rd St 404, San Francisco, CA 94107",94107,San Francisco County,"$549,000",Condominium,1,1,602,1.841,1,1989
"3345 17th St, San Francisco, CA 94110",94110,San Francisco County,"$1,099,000",Condominium,1,1/1,"1,311","4,891",1,2002
"555 4th St 639, San Francisco, CA 94107",94107,San Francisco County,"$849,000",Condominium,1,1,752,1.451,1,2006
"82 Staples Ave, San Francisco, CA 94131",94131,San Francisco County,"$1,249,000",Single Family Residence,3,3,"1,753","2,500",1,1946
"627 Mangels Ave, –, CA 94127",94127,San Francisco County,"$1,555,888",Single Family Residence,0,1,"1,600","2,475",0,1913
"462 Orizaba Ave, –, CA 94132",94132,San Francisco County,"$999,000",Single Family Residence,3,2,750,"2,574",1,1950
"1818 Broadway 203, San Francisco, CA 94109",94109,San Francisco County,"$818,800",Condominium,1,1,675,"7,740",2,1969
"5175 Diamond Heights Blvd 123, San Francisco, CA 94131",94131,San Francisco County,"$858,000",Condominium,2,2,"1,050",0.509,1,1980
"1316 Sunnydale Ave, –, CA 94134",94134,San Francisco County,"$795,000",Single Family Residence,0,1,"1,117","2,217",1,1944
"51 Jersey St, San Francisco, CA 94114",94114,San Francisco County,"$1,425,000",Condominium,2,1,"1,501","2,850",1,1910
"442 Sanchez St 101, San Francisco, CA 94114",94114,San Francisco County,"$989,000",Condominium,1,1,732,"1,510",1,1915
"444 Sawyer St, San Francisco, CA 94134",94134,San Francisco County,"$799,000",Single Family Residence,2,1,"1,302","2,748",1,1944
"876 43rd Ave, San Francisco, CA 94121",94121,San Francisco County,"$1,795,000",Single Family Residence,4,4,"2,448","3,000",1,1916
"210 Teddy Ave, –, CA 94134",94134,San Francisco County,"$1,168,000",Single Family Residence,5,3,"1,958","3,998",1,1934
"225 Rolph St, San Francisco, CA 94112",94112,San Francisco County,"$948,000",Single Family Residence,2,1,"1,145","2,500",1,1921
"Address Not Disclosed, San Francisco, CA 94134",94134,San Francisco County,"$795,000",Single Family Residence,3,1,"1,117","2,217",1,1944
"4235 Folsom Street, –, CA 94110",94110,San Francisco County,"$1,250,000",Single Family Residence,2,2,"1,539","1,770",2,1976
"730 Gates St, San Francisco, CA 94110",94110,San Francisco County,"$1,690,900",Single Family Residence,3,2/1,"1,618","1,750",1,1945
"716 2nd Ave 3, San Francisco, – 94118",94118,San Francisco County,"$649,500",Residential,1,1,551,"3,500",1,1965
"701 10th Ave, San Francisco, CA 94118",94118,San Francisco County,"$165,000",Business Opportunity,,,,,,
"638 36th Ave, San Francisco, CA 94121",94121,San Francisco County,"$1,595,000",Single Family Residence,3,2,"2,141","3,000",2,1928
"210 Teddy Ave, San Francisco, CA 94134",94134,San Francisco County,"$1,168,000",Single Family Residence,5,3,"1,958","3,998",1,1934
"451 Kansas St 571, San Francisco, CA 94107",94107,San Francisco County,"$895,000",Condominium,1,1,778,1.843,1,2007
"4127 Ulloa St, San Francisco, CA 94116",94116,San Francisco County,"$1,295,000",Single Family Residence,4,3,"1,948","2,495",1,1946
"506 Eureka St, San Francisco, CA 94114",94114,San Francisco County,"$2,488,000",Single Family Residence,3,3/1,"2,168","1,777",1,1914
"2310 46th Ave, San Francisco, CA 94116",94116,San Francisco County,"$1,399,900",Single Family Residence,3,2/1,"1,890","2,063",1,1941
"1449 26th Ave, San Francisco, CA 94122",94122,San Francisco County,"$998,000",Single Family Residence,3,1,"1,505","2,996",2,1928
"1223 10th Ave, –, CA 94122",94122,San Francisco County,"$1,889,000",Single Family Residence,3,2,"2,045","2,996",1,1904
"1758 36th Ave, San Francisco, CA 94122",94122,San Francisco County,"$1,598,000",Single Family Residence,5,3,"2,360","3,000",1,1939
"151 Bernard St, San Francisco, CA 94109",94109,San Francisco County,"$2,975,000",Single Family Residence,3,3/1,"2,214","1,171",0,1902
"347 Lisbon St, San Francisco, CA 94112",94112,San Francisco County,"$1,599,999",Single Family Residence,6,6,"3,168","2,495",1,1907
"271 Lowell St, San Francisco, CA 94112",94112,San Francisco County,"$689,000",Single Family Residence,2,1,746,"3,200",0,1900
"1259-1261 Filbert St, San Francisco, CA 94109",94109,San Francisco County,"$3,528,000",Residential,6,3,"2,937","3,367",2,1906
